_Id	_CreationDate	_PostId	_RelatedPostId	_LinkTypeId
52720	2018-04-26T12:34:55.227	6170	5904	1
52731	2018-04-26T13:42:48.293	6179	4085	1
54143	2018-05-03T13:48:31.360	6214	5958	1
54210	2018-05-03T19:14:55.933	5452	5728	1
54473	2018-05-04T22:21:03.393	6274	2403	1
54943	2018-05-08T18:01:58.390	6311	5904	1
55357	2018-05-10T19:23:25.520	6344	2008	1
55752	2018-05-12T23:18:02.617	6325	2955	1
59309	2018-05-31T05:59:49.250	6583	5239	1
59427	2018-06-01T10:17:32.597	6468	5601	1
59428	2018-06-01T10:17:32.597	6468	5493	1
59498	2018-06-01T20:55:15.123	6584	3847	1
59717	2018-06-02T19:49:11.737	6633	5580	1
60014	2018-06-04T21:27:08.413	6644	6643	1
60365	2018-06-07T15:31:42.883	6679	3374	3
61555	2018-06-17T10:16:47.057	6776	1479	1
61705	2018-06-18T19:32:27.573	6789	4320	1
62293	2018-06-22T05:58:08.037	6827	1479	1
62790	2018-06-26T08:33:54.773	6889	4696	1
62811	2018-06-26T10:39:29.850	6892	6800	1
62812	2018-06-26T10:39:29.850	6892	92	1
62831	2018-06-26T11:56:10.817	6889	5452	1
63373	2018-06-30T02:27:28.507	5909	6934	1
64095	2018-07-05T18:20:28.697	7021	5239	1
64096	2018-07-05T18:20:28.697	7021	5258	1
64381	2018-07-08T19:09:46.223	7086	7049	1
64804	2018-07-12T17:51:32.460	7129	2441	1
66321	2018-07-17T18:41:58.087	7179	7159	1
66372	2018-07-18T08:37:44.347	7190	3282	1
66811	2018-07-19T03:07:47.370	7199	35	1
68117	2018-07-27T01:35:52.190	7281	7247	1
68558	2018-07-30T08:59:00.030	7343	6982	1
68647	2018-07-30T23:58:56.257	7343	6982	3
68962	2018-08-02T07:23:59.607	5763	3488	1
71217	2018-08-17T16:00:13.137	7617	240	1
71218	2018-08-17T16:00:13.137	7617	60	1
71219	2018-08-17T16:00:13.137	7617	2999	1
71242	2018-08-17T20:47:17.640	7618	7580	1
71353	2018-08-18T14:41:12.377	7624	7591	1
71372	2018-08-18T18:30:14.853	7628	5970	1
71839	2018-08-20T20:12:14.387	7642	7437	1
73003	2018-08-29T08:00:05.877	7738	7459	1
73297	2018-08-31T19:28:58.630	7776	4282	1
73632	2018-09-03T12:49:54.600	7799	6809	1
73973	2018-09-06T17:32:47.410	7859	7842	1
